BCNN_VGG16:
---Makename----:
Class56 :    Rolls-Royce     , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class57 :        BAW         , TP:  13  , TP+FP:  20  , TP+FN:  18  , Precision:0.6500, Recall:0.7222
Class58 :       Baihc        , TP:  3   , TP+FP:  8   , TP+FN:  8   , Precision:0.3750, Recall:0.3750
Class59 :    Beiqiweiwang    , TP:  13  , TP+FP:  14  , TP+FN:  17  , Precision:0.9286, Recall:0.7647
Class60 :    Beiqihuansu     , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class61 :       Beiqi        , TP:  5   , TP+FP:  9   , TP+FN:  10  , Precision:0.5556, Recall:0.5000
Class62 :       Huapu        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class63 :       Huatai       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class64 :       Huaqi        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class65 :      Carlsson      , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class66 :     Shuanghuan     , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class67 :     Shuanglong     , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class68 :       Geely        , TP: 110  , TP+FP: 148  , TP+FN: 146  , Precision:0.7432, Recall:0.7534
Class69 :      Venucia       , TP:  38  , TP+FP:  43  , TP+FN:  41  , Precision:0.8837, Recall:0.9268
Class70 :       Haval        , TP:  34  , TP+FP:  38  , TP+FN:  41  , Precision:0.8947, Recall:0.8293
Class71 :       Hafei        , TP:  10  , TP+FP:  17  , TP+FN:  13  , Precision:0.5882, Recall:0.7692
Class72 :     Volkswagen     , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class73 :      Daihatsu      , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class74 :       Chrey        , TP: 111  , TP+FP: 149  , TP+FN: 172  , Precision:0.7450, Recall:0.6453
Class75 :      Besturn       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class76 :        Benz        , TP: 259  , TP+FP: 271  , TP+FN: 310  , Precision:0.9557, Recall:0.8355
Class77 :        Audi        , TP: 238  , TP+FP: 256  , TP+FN: 264  , Precision:0.9297, Recall:0.9015
Class78 :      Wisemann      , TP:  2   , TP+FP:  2   , TP+FN:  2   , Precision:1.0000, Recall:1.0000
Class79 :      Wealeak       , TP:  4   , TP+FP:  8   , TP+FN:  8   , Precision:0.5000, Recall:0.5000
Class80 :        BMW         , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class81 :       Baojun       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
